# wl,abs, wl,em
667,-9.50E-02
668,-0.119044
669,-0.1159833
670,-0.106318
671,-0.1014854
672,-9.50E-02
673,-0.1047072
674,-6.28E-02
675,-0.1029352
Data Copyright MP Inc.
